state,year,population,incumbent,incumbent,spending,spending,votes,votes,winner,winner,name,name
,,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP
NJ,2014,8864525.0,0.0,0.0,18368139.0,610048.0,1043866.0,791297.0,1.0,0.0,"Booker, Cory ","Bell, Jeff"
NJ,2018,8886025.0,1.0,0.0,9579191.36,39236111.14,1711654.0,1357355.0,1.0,0.0,"Menendez, Robert ","Hugin, Bob"
NM,2002,1855309.0,0.0,1.0,732895.0,4209206.0,169039.0,314301.0,0.0,1.0,"Tristani, Gloria","Domenici, Pete V."
NM,2006,1962137.0,1.0,0.0,3310009.0,559138.0,394365.0,163826.0,1.0,0.0,"Bingaman, Jeff","McCulloch, Allen W., MD"
NM,2008,2010662.0,0.0,0.0,7447686.24,4632311.41,505128.0,318522.0,1.0,0.0,"Udall, Tom","Pearce, Stevan E."
NM,2012,2087309.0,0.0,0.0,6727090.62,14341026.0,395717.0,379459.0,1.0,0.0,"Heinrich, Martin T.","Wilson, Heather A."
NM,2014,2089568.0,1.0,0.0,7096943.0,3635588.0,286409.0,229097.0,1.0,0.0,"Udall, Tom","Weh, Allen E. "
NM,2018,2092741.0,1.0,0.0,6377069.86,968899.39,376998.0,212813.0,1.0,0.0,"Heinrich, Martin T.","Rich, Mick "
NV,2006,2522658.0,0.0,1.0,2266273.0,5305606.0,238796.0,322501.0,0.0,1.0,"Carter, Jack","Ensign, John"
NV,2010,2702405.0,1.0,0.0,19392820.0,28276674.0,362785.0,321361.0,1.0,0.0,"Reid, Harry","Angle, Sharron "
NV,2012,2743996.0,0.0,1.0,10548285.54,9417811.0,446080.0,457656.0,0.0,1.0,"Berkley, Shelley","Heller, Dean"
NV,2016,2917563.0,0.0,0.0,19968577.25,12356469.0,521994.0,495079.0,1.0,0.0,"Cortez Masto, Catherine","Heck, Joe"
NV,2018,3027341.0,0.0,1.0,26242152.35,12888303.14,490071.0,441202.0,1.0,0.0,"Rosen, Jacky","Heller, Dean"
NY,2006,19104631.0,1.0,0.0,79667052.0,11699220.0,2859636.0,1392189.0,1.0,0.0,"Clinton, Hillary Rodham","Spencer, John"
